id;fecha_trending;titulo;canal;categoria;visitas;likes;dislikes
8-HAzbg0-GY;04/12/2017;TIGRES HUMILLA AL AMERICA - ¿Que dijo ORIBE? - NESTOR ARAUJO ha Chivas - Mohamed Sissoko al Atlético;EL SHOW DEL BALÓN;Sports;7150;53;2
a8ArQPiFEyI;04/12/2017;ENTREVISTA AL ROBOT SOPHIA;Desahogada;Comedy;29280;4796;47
LTUFbbKxuXA;04/12/2017;Fc Juarez vs Alebrijes 2017 2-1 Pens(2-4) ALEBRIJES CAMPEÓN LIGA DE ASCENSO! Partido de Vuelta;Estadio Videos;Sports;195633;693;82
SQYyY2k8Uu8;04/12/2017;Los Guerreros de los universos 6 y 2 son derrotados / Dragon Ball Super SUB ESPAÑOL;EL TIO GINYU;Entertainment;9277;187;7
XaAjZi-ogDY;04/12/2017;Beto cuevas (caída) - 90's Pop Tour;BLUEKENBOY CRUZ;Science & Technology;154689;274;43
8o_C3GVc434;04/12/2017;EMPATA el MADRID y sigue lejos del BARÇA | CAYÓ el PARÍS | ROJA DIRECTA a POGBA | Marcó el TIGRE;Cracks;Sports;981813;44426;573
lV86VF7LQ64;04/12/2017;Papá Malo | Lo Que Callamos Las Mujeres;Lumaid;Entertainment;13965;95;10
yS6polu3v7E;04/12/2017;Entrevista con el Cubano Roberto Barrueta donde habla de CUBA y EUA ¿Que modelo prefiere?;Raf11tha;News & Politics;6124;415;13
uYy2cT0V8uk;04/12/2017;Alebrijes de Oaxaca Campeón en Penales 1 (4) - 2 (2) Bravos de Juárez | FINAL ASCENSO MX;Sports Time Mx;Sports;29761;123;12
Emgb5nn2x_0;04/12/2017;NACION BOMBEROS Azores 609 Col. Benito Juarez;Ismael Figueroa Independiete;People & Blogs;1654;415;0
CZdkFgV5TOM;04/12/2017;DO TEENS KNOW 90s MUSIC? #12 (REACT: Do They Know It?);REACT;Entertainment;362026;11861;293
rvtVtwWlsWc;04/12/2017;CUANDO TIENES UNA NOVIA EXAGERADA // SNAPS ALEX CASAS;Alex Casas;Entertainment;45783;7292;41
